,county,year,NO2_annualMean,NO2_hrOver200,NO_annualMean,O3_annualMean,O3_daysOver120,O3_dailyMaxAnnualMean,O3_dailyHourlyMax,O3_daily8HrMax,PM10_annualMean,PM2_5_annualMean,cases_per_100k,deaths_per_100k,Population_density,Fully_vaccinated
24,LK Aichach-Friedberg,2014,"1,81472E+13",0.0069634157392242,"1,00334E+14","5,05796E+14","1,50068E+14","7,5666E+14","1,7941E+14","1,62071E+14","1,71743E+14","1,28894E+14",5782.67567247304,82.20760753643798,173.1884928776162,0.663
25,LK Aichach-Friedberg,2015,"1,81186E+14",0.0069479409158059,"1,03288E+14","5,08116E+14","1,5953E+14","7,5815E+14","1,79457E+14","1,62155E+14","1,70411E+14","1,28121E+14",5782.67567247304,82.20760753643798,173.1884928776162,0.663
26,LK Aichach-Friedberg,2016,"1,78171E+14",0.0067848245559123,"9,71654E+14","5,0603E+14","1,51019E+14","7,5681E+14","1,79414E+14","1,6208E+14","1,69564E+14","1,27596E+14",5782.67567247304,82.20760753643798,173.1884928776162,0.663
27,LK Aichach-Friedberg,2017,"1,74043E+14",0.0065614510308115,"9,28623E+14","5,12705E+14","1,78251E+14","7,611E+14","1,7955E+14","1,62321E+14","1,68504E+12","1,26885E+14",5782.67567247304,82.20760753643798,173.1884928776162,0.663
28,LK Aichach-Friedberg,2018,"1,78007E+14",0.0067759261378711,"9,06587E+14","5,1359E+14","1,81862E+14","7,61669E+14","1,79568E+13","1,62354E+14","1,70939E+14","1,28506E+14",5782.67567247304,82.20760753643798,173.1884928776162,0.663
29,LK Aichach-Friedberg,2019,"1,7394E+14",0.00655585091833,"9,10217E+14","5,16381E+14","1,93248E+14","7,63462E+14","1,79625E+14","1,62455E+14","1,63145E+14","1,23602E+14",5782.67567247304,82.20760753643798,173.1884928776162,0.663
30,LK Alb-Donau-Kreis,2010,"1,79087E+13",0.0068343823904328,"1,13994E+14","4,93253E+14",0.988991609278251,"7,48599E+14","1,79155E+13","1,61617E+14","1,73527E+13","1,29955E+14",6357.59116869488,92.83364614235838,146.12749025742227,0.662
31,LK Alb-Donau-Kreis,2011,"1,82222E+14",0.0070040140181577,"1,12395E+12","4,9412E+14","1,02435E+14","7,49156E+14","1,79172E+14","1,61649E+14","1,73449E+14","1,29901E+14",6357.59116869488,92.83364614235838,146.12749025742227,0.662
32,LK Alb-Donau-Kreis,2012,"1,74909E+14",0.0066082980005323,"1,00883E+13","4,97202E+14","1,1501E+14","7,51137E+14","1,79235E+14","1,6176E+14","1,71027E+14","1,28475E+14",6357.59116869488,92.83364614235838,146.12749025742227,0.662
33,LK Alb-Donau-Kreis,2013,"1,74295E+14",0.0065750805409837,"1,00318E+14","4,96292E+14","1,11298E+14","7,50552E+14","1,79217E+14","1,61727E+14","1,69557E+14","1,27593E+14",6357.59116869488,92.83364614235838,146.12749025742227,0.662
